UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,XFTEDPP,FTEDPP,ACTTYPE
100654,R,151217,A,,R,13090,G,5041,G,545,G,5041,G,545,A,,2
100663,R,339465,A,,R,169656,G,11316,G,7069,G,11316,G,7069,R,1535,2
100690,R,6520,A,,R,7477,G,217,G,312,G,217,G,312,A,,2
100706,R,183884,A,,R,26560,G,6129,G,1107,G,6129,G,1107,R,58,2
100724,R,102106,A,,R,11996,G,3404,G,500,G,3404,G,500,R,86,2
100751,R,948572,A,,R,101004,G,31619,G,4209,G,31619,G,4209,R,666,2
100760,R,36238,A,,A,,G,1208,A,,G,1208,A,,A,,2
100812,R,59498,A,,R,6882,G,1983,G,287,G,1983,G,287,A,,2
100830,R,79682,A,,R,32219,G,2656,G,1342,R,3129,R,1443,R,3,2
100858,R,782306,A,,R,93881,G,26077,G,3912,G,26077,G,3912,R,1012,2
101028,R,32134,A,,A,,G,1071,A,,G,1071,A,,A,,2
101116,R,14062,A,,R,306,G,312,G,9,G,312,G,9,R,12,2
101143,R,49967,A,,A,,G,1666,A,,G,1666,A,,A,,2
101161,R,147564,A,,A,,G,4919,A,,G,4919,A,,A,,2
101189,R,48927,A,,R,22469,G,1631,G,936,G,1631,G,936,R,321,2
101240,R,101838,A,,A,,G,3395,A,,G,3395,A,,A,,2
101277,A,,R,62353,A,,G,69,A,,G,69,A,,A,,1
101286,R,80885,A,,A,,G,2696,A,,G,2696,A,,A,,2
101295,R,122643,A,,A,,G,4088,A,,G,4088,A,,A,,2
101301,R,38719,A,,A,,G,1291,A,,R,1368,A,,A,,2
101365,R,12745,A,,R,36,G,425,G,2,G,425,G,2,A,,2
101435,R,23836,A,,R,187,G,795,G,8,G,795,G,8,A,,2
101453,R,1335,A,,R,965,G,45,G,40,G,45,G,40,A,,2
101462,R,20360,A,,A,,G,679,A,,G,679,A,,A,,2
101471,R,34082,A,,A,,G,1136,A,,G,1136,A,,A,,2
101480,R,224303,A,,R,22290,G,7477,G,929,G,7477,G,929,R,64,2
101505,R,154688,A,,A,,G,5156,A,,G,5156,A,,A,,2
101514,R,180044,A,,A,,G,6001,A,,G,6001,A,,A,,2
101569,R,65608,A,,A,,G,2187,A,,G,2187,A,,A,,2
101587,R,76535,A,,R,65452,G,2551,G,2727,G,2551,G,2727,A,,2
101602,R,40948,A,,A,,G,1365,A,,G,1365,A,,A,,2
101648,R,9837,A,,A,,G,328,A,,G,328,A,,A,,2
101675,R,21749,A,,A,,G,725,A,,G,725,A,,A,,2
101693,R,38124,A,,R,3240,G,1271,G,135,G,1271,G,135,A,,2
101709,R,60101,A,,R,7776,G,2003,G,324,G,2003,G,324,A,,2
101736,R,67657,A,,A,,G,2255,A,,G,2255,A,,A,,2
101879,R,171335,A,,R,47657,G,5711,G,1986,G,5711,G,1986,A,,2
101897,R,55357,A,,A,,G,1845,A,,G,1845,A,,A,,2
101912,R,38529,A,,R,742,G,1284,G,31,G,1284,G,31,A,,2
101994,R,13219,A,,A,,G,441,A,,G,441,A,,A,,2
102030,R,64082,A,,A,,G,2136,A,,G,2136,A,,A,,2
